isRentalCommunity,agent_name,bathrooms,price_per_sqft,street,neighborhood,city,listing_id,state_code,isSrpFeatured,apt_number,isRental,state,latitude,location_Id,zip_code,status,build_year,price,bedrooms,address,house_type,hasStreetView,neighborhood_ID,street_number,url,sqft,dmaId,longitude,partial_bathrooms,type_house,siteID,isForeclosure,type_display
False,Don DeFranco,3,2242.6912,Sacramento St,Nob Hill,San Francisco,3257521420,CA,True,802,False,California,37.792953,77517,94108,For Sale,,5600000,3,"1100 Sacramento Street #802, San Francisco, CA",Condo,-1,1442,1100,https://www.trulia.com/property/3257521420-1100-Sacramento-St-802-San-Francisco-CA-94108,2497,37,-122.411385,0,CONDO,10352208,False,Condo
False,Flannan Lum,3,0,Taylor St,Nob Hill,San Francisco,3259259171,CA,False,,False,California,37.79462,77517,94108,For Sale,1908,1995000,3,"1314 Taylor Street, San Francisco, CA",Condo,-1,1442,1314,https://www.trulia.com/property/3259259171-1314-Taylor-St-San-Francisco-CA-94108,,37,-122.41276,,CONDO,205608772,False,Condo
False,Patricia Lawton,3,0,Scott St,Pacific Heights,San Francisco,3247000341,CA,False,,False,California,37.792404,77523,94115,For Sale,1922,6745000,4,"2440 Scott Street, San Francisco, CA",Single-Family Home,-1,1450,2440,https://www.trulia.com/property/3247000341-2440-Scott-St-San-Francisco-CA-94115,,37,-122.43937,,SINGLE-FAMILY HOME,205611199,False,Single-Family Home
False,Joel Goodrich,3,0,Green St,Russian Hill,San Francisco,3259914468,CA,True,3,False,California,37.798527,77541,94133,For Sale,,3695000,3,"947 Green Street #3, San Francisco, CA",Condo,-1,1456,947,https://www.trulia.com/property/3259914468-947-Green-St-3-San-Francisco-CA-94133,,37,-122.414566,0,CONDO,288014516,False,Condo
False,Marise Rodríguez,7,798.4032,2929a Folsom St,Mission,San Francisco,3259321605,CA,False,,False,California,37.75023,77519,94110,For Sale,1900,3200000,9,"2927 2929a Folsom Street, San Francisco, CA",Multi-Family Home,-1,1436,2927,https://www.trulia.com/property/3259321605-2927-2929a-Folsom-St-San-Francisco-CA-94110,4008,37,-122.413864,,MULTI-FAMILY,205416624,False,Multi-Family Home
False,Neill Bassi,5,0,Fulton St,Alamo Square,San Francisco,3078333074,CA,True,,False,California,37.77737,77525,94117,For Sale,,7300000,4,"1164 Fulton Street, San Francisco, CA",Single-Family Home,-1,1386,1164,https://www.trulia.com/property/3078333074-1164-Fulton-St-San-Francisco-CA-94117,,37,-122.436005,1,SINGLE-FAMILY HOME,10352208,False,Single-Family Home
False,Shelley Trew,1,0,Alabama St,Bernal Heights,San Francisco,31954277,CA,False,,False,California,37.745686,77519,94110,Pending,1906,1395000,3,"1697 Alabama Street, San Francisco, CA",Single-Family Home,-1,1391,1697,https://www.trulia.com/property/31954277-1697-Alabama-St-San-Francisco-CA-94110,,37,-122.410286,,SINGLE-FAMILY HOME,205608772,False,Single-Family Home
False,Amy Harrington,4,0,Greenwich St,Cow Hollow,San Francisco,1081028146,CA,False,,False,California,37.79757,77531,94123,For Sale,1953,7950000,5,"2741 Greenwich Street, San Francisco, CA",Single-Family Home,-1,1401,2741,https://www.trulia.com/property/1081028146-2741-Greenwich-St-San-Francisco-CA-94123,,37,-122.44483,,SINGLE-FAMILY HOME,2275398103,False,Single-Family Home
False,Mark Levinson,7,0,Francisco St,Russian Hill,San Francisco,1009193549,CA,True,,False,California,37.804302,77518,94109,For Sale,1914,12000000,6,"898 Francisco Street, San Francisco, CA",Single-Family Home,-1,1456,898,https://www.trulia.com/property/1009193549-898-Francisco-St-San-Francisco-CA-94109,,37,-122.41985,1,SINGLE-FAMILY HOME,176412660,False,Single-Family Home
False,Linda Bettencourt,2,945.495,Beale St,South Beach,San Francisco,3259624757,CA,True,301,False,California,37.78814,77515,94105,For Sale,1937,1700000,2,"300 Beale Street #301, San Francisco, CA",Condo,-1,1463,300,https://www.trulia.com/property/3259624757-300-Beale-St-301-San-Francisco-CA-94105,1798,37,-122.39258,0,CONDO,10352208,False,Condo
False,Gregg Lynn,5,2349.138,Market St,SoMa,San Francisco,3235999726,CA,True,PH2A,False,California,37.785397,77512,94102,For Sale,,10900000,4,"765 Market Street #PH2A, San Francisco, CA",Condo,-1,1462,765,https://www.trulia.com/property/3235999726-765-Market-St-PH2A-San-Francisco-CA-94102,4640,37,-122.40439,1,CONDO,10352208,False,Condo
False,Monica Pauli,4,862.85095,Lake St,Sea Cliff,San Francisco,3258620932,CA,False,,False,California,37.785313,77529,94121,For Sale,1921,3995000,6,"2850 Lake Street, San Francisco, CA",Single-Family Home,-1,1459,2850,https://www.trulia.com/property/3258620932-2850-Lake-St-San-Francisco-CA-94121,4630,37,-122.49025,,SINGLE-FAMILY HOME,2275398103,False,Single-Family Home
False,Andrew Herrera II,3,851.4725,Santa Paula Ave,Saint Francis Wood,San Francisco,1070420317,CA,False,,False,California,37.737747,77535,94127,Pending,1922,1995000,4,"111 Santa Paula Avenue, San Francisco, CA",Single-Family Home,-1,1457,111,https://www.trulia.com/property/1070420317-111-Santa-Paula-Ave-San-Francisco-CA-94127,2343,37,-122.46299,,SINGLE-FAMILY HOME,2274401221,False,Single-Family Home
False,Joel Goodrich,2,1815.3527,Jackson St,Presidio Heights,San Francisco,3259250648,CA,True,,False,California,37.79062,77523,94115,For Sale,,3500000,2,"3157 Jackson Street, San Francisco, CA",Single-Family Home,-1,1455,3157,https://www.trulia.com/property/3259250648-3157-Jackson-St-San-Francisco-CA-94115,1928,37,-122.44694,0,SINGLE-FAMILY HOME,288014516,False,Single-Family Home
False,Damon Knox,0,0,Steiner St,Cow Hollow,San Francisco,3259229008,CA,True,,False,California,37.79838,77531,94123,For Sale,1907,2600000,,"3130 Steiner Street, San Francisco, CA",Multi-Family Home,-1,1401,3130,https://www.trulia.com/property/3259229008-3130-Steiner-St-San-Francisco-CA-94123,,37,-122.43723,,MULTI-FAMILY,2275329571,False,Multi-Family Home
False,Pat Patricelli,0,0,Andover St,Bernal Heights,San Francisco,3127589301,CA,True,,False,California,37.73381,77519,94110,Pending,1989,1195000,,"750 Andover Street, San Francisco, CA",Multi-Family Home,-1,1391,750,https://www.trulia.com/property/3127589301-750-Andover-St-San-Francisco-CA-94110,,37,-122.41715,,MULTI-FAMILY,288014516,False,Multi-Family Home
False,Betty Taisch,1,1105.183,California St,Downtown,San Francisco,3257837854,CA,True,630,False,California,37.791027,77517,94108,For Sale,,725000,,"1177 California Street #630, San Francisco, CA",Condo,-1,1404,1177,https://www.trulia.com/property/3257837854-1177-California-St-630-San-Francisco-CA-94108,656,37,-122.41365,0,CONDO,288014516,False,Condo
False,Greg Fulford,2,880.2521,5th Ave,Inner Sunset,San Francisco,3259369208,CA,False,,False,California,37.76565,77530,94122,Pending,,2095000,3,"1221 5th Avenue, San Francisco, CA",Condo,-1,1424,1221,https://www.trulia.com/property/3259369208-1221-5th-Ave-San-Francisco-CA-94122,2380,37,-122.4623,,CONDO,205608772,False,Condo
False,Astrid Lacitis,1,932.78687,Fillmore St,Lower Pacific Heights,San Francisco,3258776231,CA,False,204,False,California,37.78625,77523,94115,Pending,1986,569000,1,"1805 Fillmore Street #204, San Francisco, CA",Condo,-1,1430,1805,https://www.trulia.com/property/3258776231-1805-Fillmore-St-204-San-Francisco-CA-94115,610,37,-122.43365,,CONDO,205608772,False,Condo
